# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
1             	GAMG	1.000000e+00	3.231280e-03	2	true
2             	GAMG	1.839470e-01	7.675670e-04	2	true
3             	GAMG	1.210680e-01	1.092010e-03	2	true
4             	GAMG	8.155390e-02	2.253440e-04	3	true
5             	GAMG	6.895570e-02	2.198770e-04	3	true
6             	GAMG	5.996790e-02	2.245540e-04	3	true
7             	GAMG	5.213100e-02	2.372340e-04	3	true
8             	GAMG	4.545030e-02	2.524520e-04	3	true
9             	GAMG	3.957930e-02	2.689830e-04	3	true
10            	GAMG	3.637800e-02	2.854670e-04	3	true
11            	GAMG	3.562960e-02	3.009170e-04	3	true
12            	GAMG	3.552060e-02	3.143390e-04	3	true
13            	GAMG	3.446250e-02	3.219040e-04	3	true
14            	GAMG	3.253950e-02	3.207170e-04	3	true
15            	GAMG	3.045560e-02	7.369040e-05	4	true
16            	GAMG	2.842710e-02	7.269850e-05	4	true
17            	GAMG	2.659250e-02	7.282650e-05	4	true
18            	GAMG	2.480680e-02	7.278680e-05	4	true
19            	GAMG	2.315370e-02	7.263660e-05	4	true
20            	GAMG	2.227470e-02	7.242760e-05	4	true
21            	GAMG	2.145450e-02	7.215820e-05	4	true
22            	GAMG	2.063840e-02	7.191670e-05	4	true
23            	GAMG	1.983900e-02	7.184650e-05	4	true
24            	GAMG	1.905240e-02	7.133970e-05	4	true
25            	GAMG	1.829160e-02	7.091370e-05	4	true
26            	GAMG	1.758060e-02	7.080440e-05	4	true
27            	GAMG	1.686560e-02	7.028570e-05	4	true
28            	GAMG	1.619290e-02	6.981430e-05	4	true
29            	GAMG	1.554220e-02	6.931540e-05	4	true
30            	GAMG	1.492630e-02	6.884740e-05	4	true
31            	GAMG	1.455580e-02	6.822960e-05	4	true
32            	GAMG	1.421180e-02	6.799420e-05	4	true
33            	GAMG	1.389070e-02	6.587860e-05	4	true
