# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.5           	GAMG	1.000000e+00	5.239840e-03	6	true
1             	GAMG	6.628690e-01	3.321620e-03	4	true
1.5           	GAMG	4.280060e-01	1.806170e-03	3	true
2             	GAMG	4.106520e-01	1.895730e-03	3	true
2.5           	GAMG	3.571400e-01	3.103730e-03	2	true
3             	GAMG	3.525400e-01	2.914190e-03	2	true
3.5           	GAMG	3.273170e-01	2.857600e-03	2	true
4             	GAMG	3.358040e-01	2.129620e-03	2	true
4.5           	GAMG	3.187860e-01	2.716320e-03	2	true
5             	GAMG	3.173530e-01	1.906350e-03	2	true
5.5           	GAMG	3.034060e-01	2.282660e-03	2	true
6             	GAMG	2.958960e-01	1.736070e-03	2	true
6.5           	GAMG	2.829550e-01	1.661640e-03	2	true
7             	GAMG	2.682810e-01	1.494080e-03	2	true
7.5           	GAMG	2.541630e-01	1.142480e-03	2	true
8             	GAMG	2.434430e-01	1.224260e-03	2	true
8.5           	GAMG	2.322520e-01	8.990360e-04	2	true
9             	GAMG	2.252800e-01	1.114830e-03	2	true
9.5           	GAMG	2.172780e-01	8.098160e-04	2	true
10            	GAMG	2.128940e-01	1.176220e-03	2	true
10.5          	GAMG	2.063770e-01	1.040330e-03	2	true
11            	GAMG	2.002020e-01	1.279370e-03	2	true
11.5          	GAMG	1.910900e-01	1.793230e-03	2	true
12            	GAMG	1.829630e-01	8.452010e-04	3	true
12.5          	GAMG	1.814120e-01	1.455070e-03	3	true
13            	GAMG	1.933160e-01	1.301820e-03	3	true
13.5          	GAMG	2.027400e-01	1.671230e-03	3	true
14            	GAMG	2.128140e-01	8.077190e-04	4	true
14.5          	GAMG	2.097940e-01	1.848260e-03	3	true
15            	GAMG	2.087520e-01	1.373380e-03	3	true
15.5          	GAMG	2.091520e-01	1.119840e-03	3	true
16            	GAMG	1.998730e-01	1.125010e-03	3	true
16.5          	GAMG	1.997950e-01	1.035580e-03	3	true
17            	GAMG	1.911120e-01	1.298990e-03	3	true
17.5          	GAMG	2.108820e-01	1.233680e-03	3	true
18            	GAMG	2.021700e-01	9.875800e-04	3	true
18.5          	GAMG	2.033160e-01	1.716910e-03	2	true
19            	GAMG	1.916560e-01	1.392950e-03	2	true
19.5          	GAMG	1.950910e-01	1.187910e-03	2	true
20            	GAMG	1.762850e-01	1.178460e-03	2	true
20.5          	GAMG	1.801840e-01	8.704680e-04	2	true
21            	GAMG	1.586400e-01	8.099390e-04	2	true
21.5          	GAMG	1.576750e-01	7.782030e-04	2	true
22            	GAMG	1.464570e-01	6.701500e-04	2	true
22.5          	GAMG	1.500740e-01	6.457640e-04	2	true
23            	GAMG	1.385510e-01	5.858870e-04	2	true
23.5          	GAMG	1.400850e-01	6.148060e-04	2	true
24            	GAMG	1.343670e-01	1.223570e-03	1	true
24.5          	GAMG	1.400920e-01	9.454650e-04	1	true
25            	GAMG	1.302180e-01	8.558380e-04	1	true
25.5          	GAMG	1.332200e-01	1.031170e-03	1	true
26            	GAMG	1.277020e-01	9.858920e-04	1	true
26.5          	GAMG	1.333190e-01	1.045300e-03	1	true
27            	GAMG	1.257360e-01	1.145560e-03	1	true
27.5          	GAMG	1.276580e-01	1.209350e-03	1	true
28            	GAMG	1.244880e-01	3.394390e-04	2	true
28.5          	GAMG	1.301600e-01	3.151390e-04	2	true
29            	GAMG	1.229650e-01	3.665390e-04	2	true
29.5          	GAMG	1.250240e-01	3.394350e-04	2	true
30            	GAMG	1.229840e-01	3.921080e-04	2	true
30.5          	GAMG	1.278280e-01	3.640630e-04	2	true
31            	GAMG	1.220030e-01	3.967200e-04	2	true
31.5          	GAMG	1.247030e-01	3.888250e-04	2	true
32            	GAMG	1.231610e-01	4.189120e-04	2	true
32.5          	GAMG	1.287320e-01	4.057720e-04	2	true
33            	GAMG	1.218470e-01	4.413390e-04	2	true
33.5          	GAMG	1.244810e-01	5.642500e-04	2	true
34            	GAMG	1.230440e-01	6.812440e-04	2	true
34.5          	GAMG	1.284510e-01	8.267080e-04	2	true
35            	GAMG	1.228230e-01	9.802850e-04	2	true
35.5          	GAMG	1.264250e-01	1.217720e-03	2	true
36            	GAMG	1.281010e-01	5.374700e-04	3	true
36.5          	GAMG	1.300630e-01	5.838680e-04	3	true
